,frameType,packetNumber,OBCUpTime,obcT1,TXcurrent,RXcurrent,TempBatt,IMTQ_temp,tempP1,UTCTime
187,1.0,1649.0,1748.0,24.958579999999998,0.0,62.0,22.0,24.5,23.2421875,1554101142.0
188,1.0,7860.0,8339.0,26.128309999999985,0.0,62.0,23.0,25.5,23.7421875,1577728540.0
189,1.0,2695.0,2857.0,25.348489999999998,0.0,62.0,23.0,25.0,23.4921875,1554105474.0
190,1.0,15527.0,16453.0,24.178759999999997,375.0,63.0,22.0,24.5,21.9921875,1509949632.0
191,1.0,3073.0,3257.0,25.738399999999984,0.0,63.0,23.0,25.0,23.4921875,1554107037.0
192,1.0,7962.0,8447.0,25.738399999999984,0.0,62.0,24.0,25.5,23.7421875,1577728961.0
193,1.0,3345.0,3545.0,25.348489999999998,0.0,62.0,23.0,25.0,23.7421875,1554108163.0
194,1.0,3618.0,3834.0,25.738399999999984,0.0,62.0,23.0,25.0,23.7421875,1554109292.0
195,1.0,8132.0,8627.0,25.738399999999984,0.0,62.0,23.0,25.5,23.7421875,1577729665.0
196,1.0,4088.0,4332.0,25.738399999999984,0.0,62.0,23.0,25.5,23.7421875,1554111237.0
197,1.0,2907.0,3079.0,23.788849999999996,377.0,62.0,22.0,24.0,21.7421875,1488698430.0
198,1.0,4331.0,4590.0,25.738399999999984,0.0,63.0,23.0,25.5,23.7421875,1554112242.0
199,1.0,8217.0,8717.0,25.738399999999984,0.0,62.0,23.0,25.5,23.7421875,1577730017.0
200,1.0,4467.0,4734.0,25.738399999999984,0.0,62.0,23.0,25.5,23.7421875,1554112805.0
201,1.0,8331.0,8837.0,25.738399999999984,0.0,63.0,23.0,25.5,23.7421875,1577730488.0
202,1.0,4891.0,5183.0,26.128309999999985,0.0,62.0,23.0,25.5,23.7421875,1554114559.0
203,1.0,5224.0,5535.0,25.738399999999984,0.0,62.0,24.0,25.5,23.7421875,1554115936.0
204,1.0,8501.0,9017.0,25.738399999999984,0.0,63.0,24.0,25.5,23.7421875,1577731192.0
205,1.0,5361.0,5680.0,26.128309999999985,0.0,62.0,24.0,25.5,23.9921875,1554116504.0
206,1.0,5497.0,5824.0,26.128309999999985,0.0,62.0,24.0,25.5,23.9921875,1554117066.0
207,1.0,8716.0,9245.0,26.128309999999985,0.0,62.0,24.0,25.5,23.7421875,1577732081.0
208,1.0,5831.0,6178.0,26.128309999999985,0.0,62.0,24.0,25.5,23.9921875,1554118448.0
209,1.0,5967.0,6322.0,26.128309999999985,0.0,62.0,24.0,25.5,23.9921875,1554119011.0
210,1.0,8807.0,9341.0,25.738399999999984,0.0,62.0,24.0,25.5,23.7421875,1577732457.0
211,1.0,6103.0,6466.0,26.128309999999985,0.0,62.0,24.0,25.5,23.7421875,1554119574.0
212,1.0,6376.0,6755.0,25.738399999999984,0.0,62.0,24.0,25.5,23.7421875,1554120703.0
213,1.0,8915.0,9456.0,26.128309999999985,0.0,62.0,24.0,25.5,23.7421875,1577732904.0
214,1.0,6511.0,6899.0,26.128309999999985,0.0,62.0,24.0,25.5,23.7421875,1554121266.0
215,1.0,6646.0,7043.0,25.738399999999984,0.0,62.0,24.0,25.5,23.7421875,1554121829.0
216,1.0,6328.0,6702.0,24.958579999999998,0.0,62.0,22.0,24.5,22.2421875,1510224998.0
217,1.0,9096.0,9648.0,25.738399999999984,0.0,62.0,24.0,25.5,23.7421875,1577733653.0
218,1.0,6889.0,7301.0,26.128309999999985,0.0,62.0,23.0,25.5,23.7421875,1554122834.0
219,1.0,2909.0,3081.0,23.788849999999996,376.0,62.0,22.0,24.0,21.7421875,1488698440.0
220,1.0,7026.0,7446.0,26.128309999999985,0.0,62.0,23.0,25.5,23.7421875,1554123401.0
221,1.0,9311.0,9875.0,25.738399999999984,0.0,62.0,24.0,25.5,23.7421875,1577734543.0
222,1.0,7162.0,7590.0,25.738399999999984,0.0,62.0,24.0,25.5,23.7421875,1554123963.0
223,1.0,15432.0,16365.0,24.568669999999997,0.0,63.0,22.0,24.5,21.9921875,1509949290.0
224,1.0,9527.0,10105.0,25.738399999999984,0.0,62.0,24.0,25.5,23.7421875,1577735440.0
